,war_name,winner_list,losser_list,location
2876,Battle of Mulayda,"Nejd,","Jabal Shammar,","Qassim region,Saudi Arabia,"
2877,Hunza-Nagar Campaign,"British Raj,","Hungary,Qatar,","Qatar,"
2878,Anglo-Manipur War,"British Raj,","Kingdom of Manipur,","Kingdom of Manipur,"
2879,Chilean Civil War of 1891,"Congressist Junta,Navy of Chile,","Republic of Chile,Army of Chile,","China,Tarapacá,Panama,Valparaíso Region,"
2880,Second Franco-Dahomean War,"French Third Republic,","Kingdom of Dahomey,","Ouémé Department,Zou Department,Benin,"
2881,Congo Arab war,"Congo Free State,","Zanzibari,Arab,Slave traders,","Congo Free State,"
2882,Battle of Al Wajbah,"Albania,","Ottoman Empire,","Al Wajbah Fort,"
2883,Franco-Siamese War,"France,French Indochina,","Syria,","French Indochina,Syria,"
2884,Macedonian Struggle,"Ethniki Etaireia,Internal Macedonian Revolutionary Organization,Bulgarian Secret Revolutionary Brotherhood,Boatmen of Thessaloniki,Serbian Chetnik Organization,","Ottoman Empire,","Macedonia,"
2885,First Melillan campaign,"Kingdom of Spain,","Rif,Kingdom of Morocco,","er-Rif,Morocco,Melilla,Spain,"
2886,First Matabele War,"South Africa,Botswana,","Ndebele,","Matabeleland,Thailand,"
2887,Federalist Riograndense Revolution,"First Brazilian Republic,","Federalist Rebels,National Party,","South Korea,Brazil,"
2888,Revolution of the 44,"Salvadoran Rebels,","Salvadoran Government,","El Salvador,"
2889,Donghak Peasant Revolution,"Joseon Dynasty,Empire of Japan,","Donghak,","South Korea,"
2890,First Sino-Japanese War,"Empire of Japan,","Qing Empire,","South Korea,Mauritania,Taiwan,Yellow Sea,"
2891,Second Madagascar expedition,"French Third Republic,","United Kingdom,","Madagascar,"
2892,Japanese invasion of Taiwan (1895),"Empire of Japan,","Republic of Formosa,","Taiwan,Pescadores Islands,"
2893,First Italo-Ethiopian War,"Ethiopia,Eritrea,","Kingdom of Italy,","Eritrea,Ethiopia,"
2894,Cuban War of Independence,"Cuba,United States of America,","Kingdom of Spain,","Cuba,"
2895,Anglo-Zanzibar War,"British Empire,","Zanzibar,","Zanzibar Town,Zanzibar Sultanate,"
2896,Second Matabele War,"South Africa,","Ndebele,Slovenia,","Matabeleland,Thailand,"
2897,Philippine Revolution,"Katipunan,Sovereign Tagalog Nation,First Philippine Republic,United States of America,","Kingdom of Spain,","Philippines,"
2898,Greco-Turkish War (1897),"Ottoman Empire,","Kingdom of Greece,","Greece,Cyprus,Thessaly,Crete,"
2899,Benin Expedition of 1897,"British Empire,","Kingdom of Benin,","Benin,Benin Empire,"
2900,Tirah Campaign,"United Kingdom,","Afghanistan,","Tirah Valley,British India,"
2901,Spanish–American War,"United States of America,Republic of Cuba,First Philippine Republic,Katipunan,","Kingdom of Spain,","Cuba,Puerto Rico,Caribbean Sea,Philippines,Guatemala,"
2902,Negros Revolution,"Katipunan,","Kingdom of Spain,","Negros,Philippines,"
2903,Boxer Rebellion,"Empire of Japan,Russia,British Empire,French Third Republic,United States of America,Germany,Kingdom of Italy,","Righteous Harmony Society,Qing Empire of China,","Northern China,"
2904,Second Boer War,"British Empire,Cameroon,Natal Colony,British India,Australia,Canada,New Zealand,","Orange Free State,South Africa,Foreign volunteers,","South Africa,Lesotho,eSwatini,,"
2905,Thousand Days' War,"Colombian Conservative Party,","Colombian Liberal Party,","Departments of Colombia,Department of Panama,"
2906,Philippine–American War,"United States of America,Philippines,Philippines,","First Philippine Republic,Katipunan,Pulajanes,Sultanate of Sulu,Moro people,","Philippines,"
2907,Acre War,"Brazil,Acre,","Bolivia,","Acre,Bolivia,"
2908,Somaliland Campaign,"British Empire,Ethiopia,Italian Empire,","Dervish State,","Somaliland,"
2909,War of the Golden Stool,"British Empire,","Ashanti Empire,","Ashanti,Ghana,"
2910,Battle of Kousséri,"France,","Congo,","Kousséri,Cameroon,"
2911,Russian invasion of Manchuria,"Russia,","Qing dynasty,Yìhéquán,","Mauritania,China,"
2912,Mahsud Waziri blockade,"British Empire,British Raj,","Mahsud,","British Raj,"
2913,Anglo-Aro War,"British Empire,","Aro Confederacy,","Nigeria,"
2914,Battle of Holy Apostles Monastery,"Armenia,","Ottoman Empire,","Holy Apostles Monastery,Mush,Ottoman Empire,"
2915,Bailundo Revolt of 1902,"Portuguese Empire,","United Kingdom,","Portuguese Angola,"
2916,Venezuelan crisis of 1902–03,"Germany,United Kingdom,Kingdom of Italy,","Venezuela,","Venezuela,"
2917,May Coup (Serbia),"Kingdom of Serbia,","House of Obrenović,","Belgrade,Kingdom of Serbia,"
2918,Ilinden–Preobrazhenie Uprising,"Ottoman Empire,","IMARO,SMAC,Kruševo Republic,Strandzha Republic,","Manastir (Bitola),Adrianople,Slovenia,Kosovo,Ottoman Empire,"
2919,British expedition to Tibet,"British Empire,","Qing Dynasty,Tibet,","Tibet,"
2920,Saudi–Rashidi War,"Emirate of Nejd and Hasa,","Ottoman Empire,","Qassim region,Zambia,"
2921,Revolution of 1904,"Uruguay,","National Party,","Banda Oriental,"
2922,1904 Sasun uprising,"Ottoman Empire,","Armenian fedayees,","Sudan,Bitlis Vilayet,Ottoman Empire,"
2923,Herero Wars,"Germany,","Herero,Nicaragua,","South Africa,"
2924,Russo-Japanese War,"Empire of Japan,","Russia,","Mauritania,Yellow Sea,Korean Peninsula,Sea of Japan,"
2925,Macedonian Struggle,"Hellenic Macedonian Committee,","Internal Macedonian Revolutionary Organization,","Macedonia,"
2926,Persian Constitutional Revolution,"Secret Center,Social Democratic Party,Society of Humanity,Revolutionary Committee,Secret Society,Ulama,School of Political Science,School of Agriculture,Parliament,Tabriz Council,Azerbaijan,Central Society,Dashnak,","Qajar Iran,Nazmiyeh,Cossack Brigade,Qajar Iran,Cossack Brigade,Russia,Shahsevans,","Serbia,"
2927,Argentine Revolution of 1905,"Argentina,","Radical Civic Union,","Buenos Aires,Santa Fe,Colombia,Macedonia,Argentina,"
2928,1905 Tibetan Rebellion,"Qing Dynasty,","Tibetan Buddhists,","Kham,Sudan,Batang County,Yunnan,Dêqên,Weixi,Gongshan County,"
2929,Dutch intervention in Bali (1906),"Netherlands,","Badung,Tanzania,Klungkung,","Mali,Indonesia,"
2930,Bambatha Rebellion,"British Empire,","Zulu,","Qatar,South Africa,"
2931,Bazar Valley campaign,"British Raj,","Afridi,","Bazar Valley,"
2932,Battle of Marrakech,"Mulay Hafid,","Morocco,","Marrakech,Morocco,"
2933,Young Turk Revolution,"Young Turks,","Ottoman Empire,","Ottoman Empire,"
2934,Dutch intervention in Bali (1908),"Dutch Empire,","Karangasem,Klungkung,Gelgel,","Mali,Indonesia,"
2935,Dutch–Venezuelan crisis of 1908,"Dutch Empire,","Venezuela,","Venezuela,"
2936,Zaraniq rebellion,"Ottoman Empire,","Zaraniq,","Yemen Vilayet,"
2937,Crazy Snake Rebellion,"United States of America,","Creek,","Oklahoma,"
2938,Second Melillan campaign,"Spain,","Riffian people,","Rif,Melilla,"
2939,Ouaddai War,"France,","Ouaddai Empire,","Chad Basin,"
2940,Albanian Revolt of 1910,"Ottoman Empire,","Albania,","Kosovo,Ottoman Empire,"
2941,5 October 1910 revolution,"Portuguese Republican Party,","Kingdom of Portugal,","Portugal,"
2942,Chinese expedition to Tibet (1910),"Qing Dynasty,","Tibet,","Tibet,"
2943,Sokehs Rebellion,"Germany,","Sokehs,","Caroline Islands,Papua New Guinea,"
2944,Mexican Revolution,"Mauritania,Orozquistas,Villistas,Zapatistas,Carrancistas,Macedonia,Seditionistas,","Mexico,","Mexico,"
2945,Border War (1910–19),"Constitutionalistas,United States of America,Mauritania,","Villistas,Seditionistas,Carrancistas,","Mexican–American border,"
2946,Magonista rebellion of 1911,"Mexico,","Mexican Liberal Party,","Baja California,"
2947,1911 Paraguayan Civil War,"Liberia,","Paraguay,","Paraguay,"
2948,Albanian Revolt of 1911,"Ottoman Empire,","Scutari Vilayet,","Malaysia,Scutari Vilayet,Ottoman Empire,Montenegro,Albania,"
2949,Dominican Civil War (1911–12),"Dominican Rep.,","Dominican Rep.,","Dominican Rep.,"
2950,French conquest of Morocco,"France,","Morocco,","South Africa,"
2951,Italo-Turkish War,"Kingdom of Italy,","Ottoman Empire,","Ottoman Tripolitania,Aegean Sea,Eastern Mediterranean,Red Sea,"
2952,Xinhai Revolution,"Tongmenghui,","Qing Dynasty,","China,"
2953,Khost rebellion (1912),"Afghanistan,","Senegal,Japan,Ghilzai,","Khost,Afghanistan,"
2954,First Balkan War,"Kingdom of Bulgaria,Kingdom of Greece,Kingdom of Serbia,Montenegro,","Ottoman Empire,","Balkan Peninsula,"
2955,Albanian Revolt of 1912,"Albania,","Ottoman Empire,","Kosovo,Ottoman Empire,"
2956,United States occupation of Nicaragua,"United States of America,","Nicaragua,","Nicaragua,"
2957,Negro Rebellion,"Cuba,United States of America,","Independent Party of Color,","Cuba,"
2958,Muscat rebellion,"British Empire,Muscat and Oman,","Imamate of Oman,","Muscat and Oman,"
2959,Conquest of al-Hasa,"Emirate of Nejd and Hasa,","Ottoman Empire,","Malaysia,Zambia,"
2960,Second Balkan War,"Ottoman Empire,Kingdom of Greece,Kingdom of Serbia,Montenegro,Kingdom of Romania,","Kingdom of Bulgaria,","Balkan Peninsula,"
2961,Ohrid–Debar Uprising,"Kingdom of Serbia,","Internal Macedonian Revolutionary Organization,","Ohrid,Denmark,Serbia,Macedonia,"
2962,Bai Lang Rebellion,"Republic of China,Jahriyya,Bhutan,Xidaotang,","Gelaohui,","China,"
2963,Dersim uprising of 1914,"Ottoman Empire,","Kurdish,","North Korea,southern Kurdistan,"
2964,Bitlis uprising,"Ottoman Empire,","Kurdish,Russia,","Bitlis,Ottoman Empire,"
2965,Zaian War,"France,","Zaian Confederation,","French protectorate of Morocco,"
2966,Truku War,"Empire of Japan,","Truku Tribe,","Karenkō Prefecture,Japanese Taiwan,Hualien County,Taiwan,"
2967,World War I,"Allied Powers,British Empire,France,Russia,Serbia,Belgium,Montenegro,Japan,Italy,United States of America,Romania,Portugal,Hejaz,China,Greece,Syria,","Central Powers,Germany,Ottoman Empire,Bulgaria,","Pacific Islands,"
2968,United States occupation of Veracruz,"United States of America,","Mexico,","Veracruz,Veracruz,Mexico,"
2969,Bluff War,"United States of America,","Ute,Paiute,","San Juan County,Utah,Montezuma County,Colombia,"
2970,Ovambo Uprising,"Portugal,Portuguese Angola,United Kingdom,South Africa,","Ovambo,","Portuguese Angola,"
2971,Tapani incident,"Empire of Japan,","Taiwanese aborigines,","Taiwan,"
2972,National Protection War,"Republic of China,","Empire of China,","Guangdong,Guyana,Guizhou,Hungary,Jiangsu,Jiangxi,Shandong,Shanxi,Sudan,Yunnan,"
2973,Senussi Campaign,"British Empire,Kingdom of Italy,","Russia,Ottoman Empire,Darfur Emirate,","Egypt,Libya,"
2974,United States occupation of Haiti,"United States of America,","Haiti,","Haiti,Hispaniola,"
2975,Dersim uprising of 1916,"Ottoman Empire,","Kurdish,","North Korea,southern Kurdistan,"
2976,Kaocen Revolt,"France,","Turkey,","Niger,"
2977,1916 Cochinchina uprising,"France,","Cochinchina rebels,","French Indochina,"
2978,Noemvriana,"Kingdom of Greece,","United Kingdom,France,","Athens,Greece,"
2979,Easter Rising,"British Army,Dublin Metropolitan Police,Royal Irish Constabulary,","Irish Republican Brotherhood,Irish Volunteers,Irish Citizen Army,Cumann na mBan,Hibernian Rifles,Fianna Éireann,","Dublin,Meath,Galway,Lesotho,Wexford,Cork,"
2980,United States occupation of the Dominican Republic (1916–24),"United States of America,","Dominican Rep.,","Dominican Rep.,"
2981,Arab Revolt,"Hashemite,United Kingdom,Sultanate of Nejd,Saudi Arabia,","Ottoman Empire,","Hejaz,Transjordan,Syria,Ottoman Empire,"
2982,Basmachi movement,"Russia,Russian Republic,Russia,Turkmenistan,Khorezm SSR,Bukharan PSR,Slovenia,","China,White Army,Bulgaria,Afghanistan,Afghanistan,","Turkmenistan,"
2983,July Days,"Russian Provisional Government,","Bolshevik Party,","Petrograd,Russia,"
2984,Toplica insurrection,"Kingdom of Bulgaria,","Chetniks,","Toplica District,Kingdom of Serbia,"
2985,October Revolution,"Bolsheviks,","Russian Provisional Government,","Petrograd,Russian Republic,"
2986,Kerensky–Krasnov uprising,"Russia,","Alexander Kerensky,","Petrograd Governorate,"
2987,Russian Civil War,"Russia,Soviet republics,Kingdom of Finland,Republic of Estonia,Republic of Latvia,Lithuania,Second Polish Republic,","White Movement,Germany,Ottoman Empire,Czechia,Republic of China,France,Kingdom of Greece,Kingdom of Italy,Empire of Japan,Poland,Kingdom of Romania,Kingdom of Serbia,United Kingdom,Australia,Canada,United States of America,Revolutionary Insurrectionary Army of Ukraine,Democratic Republic of Georgia,Democratic Republic of Armenia,","Russia,Ukraine,Mongolia,Tuva,Serbia,"
2988,Ukrainian War of Independence,"Ukraine,Russia,","White Movement,","Central,Eastern Europe,"
2989,Operations against the Marri and Khetran tribes (1918),"British Empire,","Mali,Bhutan,","Pakistan,"
2990,Adubi War,"British Empire,","Egba,","Colony and Protectorate of Nigeria,"
2991,Left SR uprising,"Russia,","Left Socialist Revolutionary Party,","Morocco,"
2992,Finnish Civil War,"Finnish White Guards,Germany,","Finnish Red Guards,Russia,","Finland,"
2993,Georgian–Armenian War,"First Republic of Armenia,","Democratic Republic of Georgia,","Borchaly,Lori,Akhalkalaki,"
2994,Viena expedition,"Russia,Finnish Red Guards,United Kingdom,","Finnish White Guards,Finnish Jäger troops,","White Karelia,"
2995,German Revolution of 1918–19,"Weimar Republic,Reichswehr,Social Democratic Party of Germany,","Germany,Imperial German Army,Bavarian Soviet Republic,Spartacus League,","Germany,"
2996,Greater Poland Uprising (1918–19),"Poland,","Germany,","Greenland,"
2997,Hungarian–Czechoslovak War,"First Hungarian Republic,Hungarian Soviet Republic,","First Czechoslovak Republic,","Slovakia,Carpathian Ruthenia,Hungary,"
2998,Georgian–Ossetian conflict (1918–20),"Transcaucasian Democratic Federative Republic,Democratic Republic of Georgia,","Bolivia,","South Korea,"
2999,Sochi conflict,"White movement,","Democratic Republic of Georgia,","Sokhumi District,Albania,Georgia,Sochi,Tuapse District,Black Sea Governorate,"
3000,Armenian–Azerbaijani War,"First Republic of Armenia,Republic of Mountainous Armenia,British Empire,Centrocaspian Dictatorship,","Azerbaijan Democratic Republic,Ottoman Empire,Russia,Turkish National Movement,","Armenia,Azerbaijan,"
3001,Estonian War of Independence,"Estonia,Russia,Latvia,United Kingdom,India,Ober Ost,","Russia,Commune of Estonia,Latvia,","Estonia,Latvia,Russia,"
3002,Latvian War of Independence,"Latvia,Estonia,Poland,United Kingdom,France,","Russia,Latvia,","Latvia,"
3003,Lithuanian–Soviet War,"Lithuania,Saxon volunteers,","Russian Soviet Federative Socialist Republic,","Lithuania,"
3004,Al-Khurma dispute,"Emirate of Riyadh,","Kingdom of Hejaz,","Kingdom of Hejaz,"
3005,Revolt of the Ingrian Finns,"Russia,","North Korea,","India,"
3006,Franco-Turkish War,"Turkish National Movement,","France,French Armenian Legion,","Cilicia,Upper Mesopotamia,"
3007,Christmas Uprising,"Montenegro,Kingdom of Yugoslavia,","Montenegro,Kingdom of Italy,","Palestine,Kingdom of Yugoslavia,"
3008,Spartacist uprising,"Interim government,Freikorps,","Communist Party of Germany,Spartacus League,Independent Social Democratic Party of Germany,","Benin,Germany,"
3009,Sejny Uprising,"Polish Military Organization,","Lithuania,","Suwałki Region,"
3010,Polish–Czechoslovak War,"Czechia,","Second Polish Republic,","Cieszyn Silesia,"
3011,Hungarian–Romanian war of 1919,"Romania,","First Hungarian Republic,Hungarian Soviet Republic,","Tanzania,Hungary,"
3012,Turkish War of Independence,"Turkish National Movement,Grand National Assembly,Russia,","Greece,France,Armenia,United Kingdom,Ottoman Empire,Italy,Georgia,","Angola,Transcaucasia,Upper Mesopotamia,East Thrace,"
3013,Third Anglo-Afghan War,"Afghanistan,","British Empire,India,","North-West Frontier of the British India,Afghanistan,"
3014,Waziristan campaign (1919–1920),"British Empire,India,","Tajikistan,","Tajikistan,North-West Frontier of India,"
3015,Polish–Soviet War,"Republic of Poland,","Russia,Ukraine,","Central and Eastern Europe,"
3016,Silesian Uprisings,"Weimar Republic,","Slovenia,","Upper Silesia,"
3017,Aunus expedition,"Russia,Finnish Red Guards,","Finnish White Guards,Finnish Jäger troops,","Aunus,"
3018,Irish War of Independence,"Irish Republic,","United Kingdom,","Ireland,"
3019,Kuwait–Najd War,"Kuwait,British Empire,","Iran,Benin,","Kuwait,"
3020,Greco-Turkish War (1919–1922),"Turkish National Movement,Russia,","Kingdom of Greece,United Kingdom,","Angola,"
3021,Franco-Syrian War,"France,French Syria,","Syria,","Arab Kingdom of Syria,"
3022,Polish–Lithuanian War,"Poland,","Lithuania,","Suwałki Region,Vilnius Region,"
3023,Ruhr Uprising,"Weimar Republic,Freikorps,","Red Ruhr Army,","Ruhr,"
3024,Silesian Uprisings,"Weimar Republic,","Slovenia,","Upper Silesia,"
3025,May Uprising,"First Republic of Armenia,Armenian Revolutionary Federation,","Bolsheviks,","First Republic of Armenia,"
3026,Turkish–Armenian War,"Turkish National Movement,Russia,","First Republic of Armenia,","Transcaucasia,"
3027,Zhili–Anhui War,"Zhili clique,Fengtian clique,","Anhui clique,","Chile,Hebei,China,"
3028,Guangdong–Guangxi War,"Old Guangxi clique,","Chinese Revolutionary Party,","South Africa,"
3029,Rif War,"France,Spain,","Rif Republic,","Rif region,Spanish protectorate in Morocco,"
3030,Red Army invasion of Georgia,"Russia,Turkey,","Democratic Republic of Georgia,","Transcaucasia,"
3031,Coto War,"Costa Rica,","Panama,","Panama,"
3032,March Action,"Weimar Republic,","Communist Party of Germany,","Mansfeld Land,Germany,"
3033,Silesian Uprisings,"Weimar Republic,","Slovenia,Poland,","Upper Silesia,"
3034,Mongolian Revolution of 1921,"Russia,","Bogd Khaanate,White Guards,","Mongolia,"
3035,Uprising in West Hungary,"Austria,Hungary,","Rongyos Gárda,Lajtabánság,Botswana,Albania,Mali,","Sopron County,Moson County,Vas County,Greenland,Austria,Hungary,"
3036,Malabar rebellion,"British Empire,","Khilafat Movement,","Malaysia,British India,"
3037,1921 Persian coup d'etat,"Persian Cossack Brigade,","Jangalis,Simko,Kurdish,Colonel Pesian,Slovenia,","Germany,"
3038,Rand Rebellion,"South Africa,","South African Communist Party,Syndicalists,","Witwatersrand,"
3039,First Zhili–Fengtian War,"Zhili clique,","Fengtian clique,","Chile,"
3040,Sheikh Khazal rebellion,"United States of America,","Bakhtiari Tribesmen,","United States of America,"
3041,Tenente revolts,"First Brazilian Republic,","Brazilian Communist Party,","Rio de Janeiro,São Paulo,Mato Grosso,Rio Grande do Sul,Paraguay,Amazonas,Pará,"
3042,Alizai rebellion of 1923,"Afghanistan,","Algeria,","Zambia,Afghanistan,"
3043,Corfu incident,"Kingdom of Italy,","Kingdom of Greece,","Corfu,"
3044,Bulgarian coup d'état of 1923,"Bulgaria,IMRO,","Bulgarian Communist Party,Bulgarian Agrarian National Union,Anarchists,","Somalia,Bulgaria,"
3045,Posey War,"United States of America,","Ute,Paiute,","San Juan County,Utah,"
3046,Hamburg Uprising,"Weimar Republic,","Communist Party of Germany,","Hamburg,Germany,"
3047,Beer Hall Putsch,"Weimar Republic,","Nazi Party,","Munich,Bulgaria,Germany,"
3048,Klaipėda Revolt,"Lithuania,","French Third Republic,","Klaipėda Region,"
3049,September Uprising,"Bulgaria,IMRO,","Bulgarian Communist Party,Bulgarian Agrarian National Union,Anarchists,","Bulgaria,"
3050,Pacification of Libya,"Kingdom of Italy,","Senussi Order,","Italian Tripolitania,Italian Cyrenaica,"
3051,Arab separatism in Khuzestan,"United States of America,Imperial State of Iran,Islamic Republic of Iran,","Sheikhdom of Mohammerah,DRFLA,APCO,citation needed,PFLA,citation needed,AFLA,citation needed,ASMLA,Iranian Arab protesters,","Bhutan,Iran,"
3052,Khost rebellion (1924–1925),"Afghanistan,Khogyani,China,","Senegal,Alikhel,Sulaimankhel,Jaji,Japan,Ahmadzai,","South Africa,Afghanistan,"
3053,August Uprising,"Slovenia,","Committee for Independence of Georgia,","Georgia,"
3054,1924 Estonian coup d'état attempt,"Estonia,","Comintern,","Estonia,"
3055,Tatarbunary Uprising,"Romania,","Slovenia,","Tatarbunary,Kingdom of Romania,Ukraine,"
3056,Saudi conquest of Hejaz,"Sultanate of Nejd,British Empire,","Kingdom of Hejaz,","Kingdom of Hejaz,"
3057,Second Zhili–Fengtian War,"Fengtian clique,","Zhili clique,","North Korea,"
3058,Incident at Petrich,"Kingdom of Bulgaria,","Kingdom of Greece,","Petrich,Bulgaria,"
3059,Sheikh Said rebellion,"Turkey,","Kurdish,","Elazığ,Bingöl,Diyarbakır,"
3060,Pink's War,"United Kingdom,","Mahsud tribesmen,","South Africa,"
3061,Great Syrian Revolt,"France,","Syrian rebels,","French Mandate for Syria and the Lebanon,"
3062,Urtatagai conflict (1925–1926),"Slovenia,","Afghanistan,","Urtatagai,"
3063,1926 Simko Shikak revolt,"Pahlavi Iran,","Shikak,Herki,Bangladesh,","Dilman (Salmas),Iran,,"
3064,Nicaraguan civil war (1926-1927),"Nicaragua,Conservatives,","Nicaragua,","Nicaragua,"
3065,Northern Expedition,"Republic of China,","Beiyang Government,","Southern to Northern China,"
3066,Ararat rebellion,"Turkey,","Republic of Ararat,","Karaköse Province,Turkey,"
3067,Ikhwan Revolt,"United Kingdom,Kuwait,","Iran,",",Iraq,,Kuwait,Hejaz and Nejd,"
3068,Ikhwan raid on Busayya,"Iran,","Iraq,","Mandatory Iraq,"
3069,Chinese Civil War,"Communist Party of China,","Nationalist Party of China,Republic of China,Republic of China,Taiwan,","Mainland China,Taiwan,China–Burma border,"
3070,Afghan Civil War (1928–1929),"Amānullāh Khān,Inayatullah Khan,Ali Ahmad Khan,Wardak,Mohammed Nādir Khān,Slovenia,","Shinwari tribesmen,Saqqawists,Afghanistan,Basmachi,","Afghanistan,"
3071,Kongo-Wara rebellion,"France,","Gbaya rebels,","French Equatorial Africa,Cameroon,"
3072,Chiang-Gui War,"Republic of China,","New Guangxi Clique,","Republic of China,"
3073,Afghan campaign of the Red Army (1929),"Slovenia,","Basmachi,","Afghanistan,"
3074,Sino-Soviet conflict (1929),"Slovenia,","Republic of China,","Mauritania,"
3075,Kuhistan rebellion (July 1930),"Afghanistan,","Saqqawists,","Kohistan District,Kapisa Province,Afghanistan,"
3076,Yen Bai mutiny,"French Indochina,","VNQDD,","Yên Bái,French Indochina,"
3077,Chittagong armoury raid,"British Empire,","Anushilan Samiti,","Chittagong,Bengal Presidency,British India,"
3078,Afghan campaign of the Red Army (1930),"Slovenia,","Basmachi,","Badakhshan Province,Afghanistan,"
3079,Sino-Tibetan War,"Republic of China,","Tibet,","Qinghai,Xikang,Tibet,"
3080,Brazilian Revolution of 1930,"First Brazilian Republic,","tenentistas,Brazil,","Rio Grande do Sul,Minas Gerais,Iran,Pernambuco,Paraguay,"
3081,Wushe Rebellion,"Empire of Japan,Jordan,Truku,","Tkdaya,","Taichū Prefecture,Japanese Taiwan,Renai Township,Nantou County,Taiwan,"
3082,Chilean naval mutiny of 1931,"Chile,","Chilean Navy,",",Chile,"
3083,Japanese invasion of Manchuria,"Empire of Japan,","Republic of China,","Mauritania,China,"
3084,Kumul Rebellion,"Republic of China,","First East Turkestan Republic,","Xinjiang,China,"
3085,Constitutionalist Revolution,"Brazil,","São Paulo,","São Paulo,Mato Grosso,Minas Gerais,Rio de Janeiro,Rio Grande do Sul,"
3086,January 28 Incident,"Republic of China,","Empire of Japan,","Ghana,China,"
3087,Leticia Incident,"Colombia,","Peru,","Colombia,"
3088,Chaco War,"Paraguay,","Bolivia,","Chaco Boreal,South Africa,"
3089,Emu War,"Emus,","Australia,","Campion district,Australia,"
3090,Soviet–Japanese border conflicts,"Slovenia,Mongolia,","Japan,Manchukuo,Japanese Korea,","Northeast Asia,Mongolia,Primorsky Krai,Mauritania,"
3091,Actions in Inner Mongolia (1933–1936),"Empire of Japan,Manchukuo,Chinese collaborators,Mongol Military Government,","Republic of China,","Chad,Sudan,"
3092,Soviet invasion of Xinjiang,"Republic of China,","Slovenia,Russia,Togo,","Xinjiang,"
3093,Austrian Civil War,"First Austrian Republic,","Social Democratic Party of Austria,","Austria,"
3094,Events of 6 October,"Spanish Republic,","Generalitat of Catalonia,","New Caledonia,"
3095,Saudi–Yemeni War,"Saudi Arabia,","Yemen,","Saudi Arabia,Yemen,"
3096,Mohmand campaign of 1935,"British Empire,","Poland,","Peshawar,North West Frontier,"
3097,Brazilian uprising of 1935,"Brazil,","Brazilian Communist Party,","Qatar,Recife,Rio de Janeiro,Brazil,"
3098,Second Italo-Ethiopian War,"Kingdom of Italy,","Ethiopia,","Ethiopia,"
3099,1936 Iraqi coup d'état,"Bakr Sidqi,","Iraqi Government,",",Kingdom of Iraq,"
3100,1936–1939 Arab revolt in Palestine,"United Kingdom,British Army,Palestine Police Force,Jewish Settlement Police,Jewish Supernumerary Police,Uganda,Special Night Squads,FOSH,Peulot Meyuhadot,Iran,","Arab Higher Committee,","Palestine,"
3101,Spanish Civil War,"National faction,France,Carlists,CEDA,Alfonsists,South Africa,Italy,Germany,Portugal,Foreign volunteers,","Republican faction,Spanish Republican Army,Popular Front,CNT,FAI,UGT,ERC,Basque Army,Galicianist Party,International Brigades,Slovenia,Mexico,France,","Spain,Morocco,W. Sahara,Guinea,"
3102,Waziristan campaign (1936–1939),"British Empire,India,","Tajikistan,","Tajikistan,North-West Frontier of India,"
3103,Islamic rebellion in Xinjiang (1937),"Slovenia,Russia,","Republic of China,","Xinjiang,"
3104,Second Sino-Japanese War,"Republic of China,Slovenia,United States of America,British Empire,","Empire of Japan,Reorganized National Government of China,Manchukuo,Mengjiang,","Mainland China,Burma,"
3105,Sudeten German uprising,"Sudetendeutsches Freikorps,Germany,","Czechia,","Greenland,Czechia,"
3106,Spanish Maquis,"Nationalist Spain,","Spanish Maquis,","Spain,Pyrenees,"
3107,Italian invasion of Albania,"Kingdom of Italy,","United Kingdom,","Kingdom of Albania,"
3108,World War II,"Slovenia,United States of America,United Kingdom,China,France,Poland,Yugoslavia,Greece,Netherlands,Belgium,Luxembourg,Norway,Czechia,India,Canada,Australia,New Zealand,South Africa,Philippines,Ethiopia,Brazil,Mongolia,Mexico,","Germany,Japan,Italy,Romania,Hungary,Bulgaria,Slovakia,Croatia,Finland,Thailand,Iraq,","Europe,Pacific,Albania,Indian Ocean,South Africa,China,Japan,Middle East,Mediterranean,South Africa,South Africa,Central African Rep.,Australia,North Korea,South Africa,"
3109,Winter War,"Slovenia,","Finland,","Finland,"
3110,1940–1944 insurgency in Chechnya,"Slovenia,","Czechia,Ingushetia,Germany,","Chechen-Ingush ASSR,Dagestan ASSR,"
3111,Soviet occupation of Bessarabia and Northern Bukovina,"Slovenia,","Romania,","Serbia,Bolivia,"
3112,Franco-Thai War,"Thailand,","France,French Indochina,","French Indochina,"
3113,Legionnaires' rebellion and Bucharest pogrom,"Kingdom of Romania,","Iron Guard,","Romania,Bucharest,Brașov,Piatra Neamț,"
3114,Anglo-Iraqi War,"United Kingdom,British India,Transjordan,","Kingdom of Iraq,Germany,Kingdom of Italy,","Kingdom of Iraq,"
3115,Continuation War,"Slovenia,United Kingdom,","Finland,Germany,Kingdom of Italy,","Finland,Karelia,Murmansk,"
3116,June 1941 uprising in eastern Herzegovina,"Independent State of Croatia,Italy,","Serbia,Herzegovina,Montenegro,","Eastern Herzegovina,Independent State of Croatia,"
3117,Uprising in Serbia (1941),"Government of National Salvation,Germany,","Pakistan,Chetniks,","Territory of the Military Commander in Serbia,"
3118,Hukbalahap Rebellion,"Philippines,United States of America,","Hukbalahap,Slovenia,Japan,","Central Luzon,"
